0,model,Category,RMSD,RMSD_rank,solution,C1'_rmsd,completed_model,Sum of absolute delta
Chen,3,Human,9.446,6,0,0.969,PZ34_Chen_3,3.3
Das,2,Human,8.961,3,0,2.101,PZ34_Das_2,8.3
SWMapo,4,Human,8.961,3,0,2.101,PZ34_SWMapo_4,8.3
Szachniuk,3,Human,11.775,31,0,2.472,PZ34_Szachniuk_3,8.3
Chen,4,Human,12.558,42,0,2.789,PZ34_Chen_4,8.3
Nithin,5,Human,13.598,62,0,3.01,PZ34_Nithin_5,9.3
ARESgua,8,Human,13.047,54,0,2.591,PZ34_ARESgua_8,9.4
Das,8,Human,13.047,54,0,2.591,PZ34_Das_8,9.4
ARESgua,9,Human,9.069,5,0,3.319,PZ34_ARESgua_9,9.5
SWMapo,6,Human,15.181,77,0,2.915,PZ34_SWMapo_6,9.9
SWMapo,5,Human,18.083,95,0,3.081,PZ34_SWMapo_5,10
Chen,1,Human,13.383,60,0,2.133,PZ34_Chen_1,10.2
Szachniuk,2,Human,15.757,84,0,4.253,PZ34_Szachniuk_2,10.5
Chen,10,Human,17.833,93,0,3.479,PZ34_Chen_10,11
ARESapo,10,Human,11.952,33,0,3.826,PZ34_ARESapo_10,11.1
Das,4,Human,8.707,1,0,3.157,PZ34_Das_4,11.4
SWMapo,2,Human,8.707,1,0,3.157,PZ34_SWMapo_2,11.4
Chen,6,Human,12.638,46,0,3.539,PZ34_Chen_6,11.4
Szachniuk,4,Human,18.154,96,0,4.527,PZ34_Szachniuk_4,12.1
FARFAR2apo,8,Human,11.459,25,0,3.069,PZ34_FARFAR2apo_8,12.6
FARFAR2gua,3,Human,11.601,27,0,3.244,PZ34_FARFAR2gua_3,12.6
RNAComposer,4,Server,13.942,66,0,3.655,PZ34_RNAComposer_4,12.7
Chen,2,Human,14.104,67,0,4.986,PZ34_Chen_2,12.8
SimRNA,5,Server,11.14,21,0,3.653,PZ34_SimRNA_5,13.4
ARESgua,5,Human,10.332,8,0,3.814,PZ34_ARESgua_5,13.7
FARFAR2gua,4,Human,10.332,8,0,3.814,PZ34_FARFAR2gua_4,13.7
ARESgua,10,Human,13.862,64,0,4.013,PZ34_ARESgua_10,13.8
FARFAR2apo,2,Human,10.619,14,0,3.557,PZ34_FARFAR2apo_2,14
Nithin,4,Human,17.324,91,0,4.229,PZ34_Nithin_4,14
Szachniuk,5,Human,16.425,86,0,3.963,PZ34_Szachniuk_5,14.1
Xiao,1,Human,17.477,92,0,5.805,PZ34_Xiao_1,14.1
Bujnicki,1,Human,11.176,22,0,4.059,PZ34_Bujnicki_1,14.5
ARESapo,6,Human,12.231,36,0,4.236,PZ34_ARESapo_6,15.2
Das,7,Human,15.401,79,0,4.144,PZ34_Das_7,15.2
SWMapo,9,Human,15.401,79,0,4.144,PZ34_SWMapo_9,15.2
