Groups,Groups_new,model,RMSD,RMSD_rank,PZ
Bujnicki,Bujnicki,3,5.582,4,PZ11
Chen,Chen,5,4.989,1,PZ11
Das,Das,10,6.825,12,PZ11
Ding,Ding,5,6.348,9,PZ11
Adamiak,Szachniuk,7,5.724,5,PZ11
Xiao,Xiao,2,8.825,38,PZ11
Chen,Chen,6,8.514,7,PZ15
Adamiak,Szachniuk,8,6.454,1,PZ15
Chen,Chen,1,1.45,1,PZ16a
Lee,Lee,2,3.551,11,PZ16a
Szachniuk,Szachniuk,8,1.881,2,PZ16a
Chen,Chen,1,1.324,2,PZ16b
Lee,Lee,3,3.591,12,PZ16b
Szachniuk,Szachniuk,1,1.25,1,PZ16b
Bujnicki,Bujnicki,7,10.863,6,PZ17
Chen,Chen,5,9.443,5,PZ17
Das,Das,4,7.134,1,PZ17
Ding,Ding,7,12.86,17,PZ17
Dokholyan,Dokholyan,3,15.03,38,PZ17
Major,Major,10,13.402,20,PZ17
Adamiak,Szachniuk,2,11.779,12,PZ17
Xiao,Xiao,7,13.849,21,PZ17
Chen,Chen,1,3.74,2,PZ18
DasORIGINAL,Das,3,3.208,1,PZ18
Ding,Ding,5,16.148,24,PZ18
Dokholyan,Dokholyan,3,7.903,11,PZ18
Lee,Lee,2,21.159,29,PZ18
Szachniuk,Szachniuk,5,9.082,13,PZ18
YagoubAli,YagoubAli,1,18.636,26,PZ18
Bujnicki,Bujnicki,2,10.183,7,PZ19
Chen,Chen,1,5.517,1,PZ19
DasLab,Das,2,8.968,3,PZ19
Ding,Ding,1,14.934,19,PZ19
Dokholyan,Dokholyan,1,16.643,26,PZ19
Adamiak,Szachniuk,5,9.822,5,PZ19
Bujnicki,Bujnicki,4,4.705,1,PZ20
Chen,Chen,2,13.335,13,PZ20
Das,Das,2,5.804,4,PZ20
Adamiak,Szachniuk,5,6.859,9,PZ20
Xiao3,Xiao,5,12.453,12,PZ20
Sanbonmatsu,Anonymous,3,13.86,29,PZ21
Bujnicki,Bujnicki,4,6.392,22,PZ21
ChenHighLig,Chen,2,3.715,2,PZ21
DasLORES,Das,1,3.646,1,PZ21
Adamiak,Szachniuk,4,4.506,7,PZ21
Bujnicki,Bujnicki,2,17.959,9,PZ22
Chen,Chen,5,21.39,18,PZ22
Das,Das,5,10.663,1,PZ22
Dokholyan,Dokholyan,5,19.994,15,PZ22
Adamiak,Szachniuk,5,15.558,6,PZ22
Xiao,Xiao,1,13.678,4,PZ22
Bujnicki,Bujnicki,1,29.157,12,PZ22Dimer
Chen,Chen,3,26.48,7,PZ22Dimer
Das,Das,6,20.472,2,PZ22Dimer
Dokholyan,Dokholyan,1,35.587,27,PZ22Dimer
Adamiak,Szachniuk,5,20.249,1,PZ22Dimer
Xiao,Xiao,4,31.156,16,PZ22Dimer
Bujnicki,Bujnicki,3,11.952,14,PZ23
Chen,Chen,3,10.587,3,PZ23
Das,Das,7,8.129,1,PZ23
Ding,Ding,1,11.272,9,PZ23
Dokholyan,Dokholyan,1,12.431,20,PZ23
Szachniuk,Szachniuk,1,13.098,25,PZ23
Xiao,Xiao,1,10.762,5,PZ23
Bujnicki,Bujnicki,2,9.752,6,PZ24
Vfold3D,Chen,5,11.033,14,PZ24
DasTFN,Das,10,4.829,1,PZ24
Ding,Ding,6,19.105,49,PZ24
Kollmann,Kollmann,2,25.155,59,PZ24
Adamiak,Szachniuk,5,9.85,7,PZ24
Bujnicki,Bujnicki,5,2.86,6,PZ25
Chen,Chen,5,2.551,1,PZ25
Das,Das,5,3.529,21,PZ25
Ding,Ding,2,8.577,35,PZ25
Adamiak,Szachniuk,1,2.681,2,PZ25
Xiao,Xiao,1,4.522,24,PZ25
Bujnicki,Bujnicki,5,13.983,4,PZ26
Chen,Chen,5,18.131,34,PZ26
TFN,Das,3,12.458,1,PZ26
Ding,Ding,2,17.364,28,PZ26
Adamiak,Szachniuk,1,18.711,37,PZ26
Xiao,Xiao,3,20.615,44,PZ26
Bujnicki,Bujnicki,2,16.428,19,PZ26tBox
Chen,Chen,9,14.85,6,PZ26tBox
Das,Das,6,13.2,1,PZ26tBox
Ding,Ding,3,16.011,12,PZ26tBox
Adamiak,Szachniuk,4,15.963,11,PZ26tBox
Xiao,Xiao,1,20.652,53,PZ26tBox
Bujnicki,Bujnicki,2,2.427,3,PZ26tRNA
Chen,Chen,4,2.844,34,PZ26tRNA
TFN,Das,8,2.414,1,PZ26tRNA
Ding,Ding,1,6.325,55,PZ26tRNA
Adamiak,Szachniuk,3,2.483,8,PZ26tRNA
Xiao,Xiao,3,3.633,39,PZ26tRNA
Bujnicki,Bujnicki,1,15.648,37,PZ27
Chen,Chen,9,11.691,13,PZ27
TFN,Das,2,9.498,1,PZ27
Adamiak,Szachniuk,1,19.064,44,PZ27
Xiao,Xiao,5,27.203,48,PZ27
Bujnicki,Bujnicki,1,18.158,40,PZ27tBox
Chen,Chen,4,13.697,16,PZ27tBox
TFN,Das,2,11.041,1,PZ27tBox
Adamiak,Szachniuk,1,20.242,45,PZ27tBox
Xiao,Xiao,5,26.696,48,PZ27tBox
Bujnicki,Bujnicki,1,4.671,48,PZ27tRNA
Chen,Chen,9,2.371,26,PZ27tRNA
TFN,Das,10,2.05,1,PZ27tRNA
Adamiak,Szachniuk,1,4.417,45,PZ27tRNA
Xiao,Xiao,4,4.022,40,PZ27tRNA
Bujnicki,Bujnicki,4,20.05,3,PZ28
Chen,Chen,6,32.774,36,PZ28
TFN,Das,3,14.504,1,PZ28
Ding,Ding,1,34.347,42,PZ28
Adamiak,Szachniuk,2,18.172,2,PZ28
Xiao,Xiao,2,29.403,14,PZ28
Bujnicki,Bujnicki,2,17.382,23,PZ28tBox
Chen,Chen,9,22.825,43,PZ28tBox
