Groups,Groups_new,model,RMSD,RMSD_rank,PZ
3dRNAAS2,3dRNA,2,24.568,45,PZ15
RNAComposerAS1,RNAComposer,1,8.088,2,PZ15
RW3DAS2,RW3D,4,10.162,7,PZ15
SimRNAAS1,SimRNA,1,7.121,1,PZ15
3dRNAAS2,3dRNA,6,1.92,7,PZ16a
RNAComposerAS1,RNAComposer,3,1.235,1,PZ16a
RW3DAS2,RW3D,6,1.523,2,PZ16a
SimRNAAS1,SimRNA,1,4.339,27,PZ16a
3dRNAAS2,3dRNA,10,1.815,23,PZ16b
RNAComposerAS2,RNAComposer,1,1.25,1,PZ16b
RW3DAS1,RW3D,6,1.371,3,PZ16b
SimRNAAS2,SimRNA,1,3.873,46,PZ16b
RNAComposerAS2,RNAComposer,3,11.913,3,PZ17
SimRNAAS2,SimRNA,1,5.145,1,PZ17
3dRNA,3dRNA,4,12.449,5,PZ18
LeeAS,Anonymous2,5,18.454,14,PZ18
RNAComposer,RNAComposer,5,15.211,10,PZ18
RW3D,RW3D,2,9.82,1,PZ18
SimRNA,SimRNA,2,10.277,2,PZ18
3dRNA,3dRNA,4,13.139,7,PZ19
LeeServer,Anonymous2,2,10.951,3,PZ19
RNAComposer,RNAComposer,3,9.596,1,PZ19
RW3D,RW3D,5,15.662,17,PZ19
SimRNA,SimRNA,3,13.794,9,PZ19
RNAComposer,RNAComposer,4,10.995,1,PZ20
RW3D,RW3D,8,15.818,4,PZ20
SimRNA,SimRNA,1,18.075,14,PZ20
3dRNA,3dRNA,3,12.053,4,PZ21
RNAComposer,RNAComposer,3,12.117,6,PZ21
RW3D,RW3D,2,15.984,12,PZ21
SimRNA,SimRNA,4,10.566,1,PZ21
RNAComposer,RNAComposer,1,18.264,1,PZ22
SimRNA,SimRNA,5,23.906,4,PZ22
SimRNA,SimRNA,2,26.46,1,PZ22Dimer
SimRNA,SimRNA,3,11.025,1,PZ23
3dRNA,3dRNA,1,15.445,8,PZ24
RNAComposer,RNAComposer,2,10.209,1,PZ24
SimRNA,SimRNA,3,13.738,6,PZ24
iFoldRNA,iFoldRNA,2,10.301,2,PZ24
RNAComposer,RNAComposer,1,8.23,3,PZ25
SimRNA,SimRNA,1,7.796,2,PZ25
iFoldRNA,iFoldRNA,1,7.643,1,PZ25
RNAComposer,RNAComposer,3,19.043,4,PZ26
SimRNA,SimRNA,1,16.196,1,PZ26
iFoldRNA,iFoldRNA,1,23.467,8,PZ26
RNAComposer,RNAComposer,3,18.211,7,PZ26tBox
SimRNA,SimRNA,4,14.219,1,PZ26tBox
iFoldRNA,iFoldRNA,1,16.828,5,PZ26tBox
RNAComposer,RNAComposer,1,2.515,1,PZ26tRNA
SimRNA,SimRNA,5,11.538,4,PZ26tRNA
iFoldRNA,iFoldRNA,1,14.164,7,PZ26tRNA
RNAComposer,RNAComposer,4,14.099,1,PZ27
SimRNA,SimRNA,5,42.169,6,PZ27
iFoldRNA,iFoldRNA,3,53.252,8,PZ27
RNAComposer,RNAComposer,4,13.842,1,PZ27tBox
SimRNA,SimRNA,5,27.274,7,PZ27tBox
iFoldRNA,iFoldRNA,2,26.559,6,PZ27tBox
RNAComposer,RNAComposer,1,2.908,1,PZ27tRNA
SimRNA,SimRNA,2,22.455,6,PZ27tRNA
iFoldRNA,iFoldRNA,5,26.445,8,PZ27tRNA
RNAComposer,RNAComposer,1,19.63,1,PZ28
SimRNA,SimRNA,2,22.17,3,PZ28
iFoldRNA,iFoldRNA,4,22.39,4,PZ28
RNAComposer,RNAComposer,1,13.208,1,PZ28tBox
SimRNA,SimRNA,5,16.196,2,PZ28tBox
iFoldRNA,iFoldRNA,5,17.547,4,PZ28tBox
RNAComposer,RNAComposer,2,3.144,1,PZ28tRNA
SimRNA,SimRNA,1,15.409,11,PZ28tRNA
iFoldRNA,iFoldRNA,3,14.102,6,PZ28tRNA
RNAComposer,RNAComposer,1,4.297,1,PZ29
SimRNA,SimRNA,3,9.571,5,PZ29
RNAComposer,RNAComposer,5,7.487,4,PZ31
SimRNA,SimRNA,1,5.924,1,PZ31
RNAComposer,RNAComposer,3,6.104,1,PZ32
SimRNA,SimRNA,3,11.579,2,PZ32
RNAComposer,RNAComposer,5,3.637,2,PZ33
SimRNA,SimRNA,1,3.396,1,PZ33
RNAComposer,RNAComposer,3,12.141,3,PZ34
SimRNA,SimRNA,4,10.598,1,PZ34
RNAComposer,RNAComposer,3,18.095,6,PZ35
SimRNA,SimRNA,4,7.718,1,PZ35
RNAComposer,RNAComposer,3,26.353,1,PZ36
RNAComposer,RNAComposer,5,11.564,1,PZ37
SimRNA,SimRNA,1,15.645,5,PZ37
RNAComposer,RNAComposer,1,10.163,4,PZ38
SimRNA,SimRNA,1,9.916,3,PZ38
YangServer,YangServer,5,8.732,1,PZ38
RNAComposer,RNAComposer,4,6.88,2,PZ39
SimRNA,SimRNA,3,4.821,1,PZ39
YangServer,YangServer,5,16.578,5,PZ39
