Groups,Groups_new,model,RMSD,RMSD_rank,PZ
Chen,Chen,6,8.514,7,PZ15
Adamiak,Szachniuk,8,6.454,1,PZ15
Bujnicki,Bujnicki,7,10.863,6,PZ17
Chen,Chen,5,9.443,5,PZ17
Das,Das,4,7.134,1,PZ17
Ding,Ding,7,12.86,17,PZ17
Dokholyan,Dokholyan,3,15.03,38,PZ17
Major,Major,10,13.402,20,PZ17
Adamiak,Szachniuk,2,11.779,12,PZ17
Xiao,Xiao,7,13.849,21,PZ17
Bujnicki,Bujnicki,2,10.183,7,PZ19
Chen,Chen,1,5.517,1,PZ19
DasLab,Das,2,8.968,3,PZ19
Ding,Ding,1,14.934,19,PZ19
Dokholyan,Dokholyan,1,16.643,26,PZ19
Adamiak,Szachniuk,5,9.822,5,PZ19
Bujnicki,Bujnicki,4,4.705,1,PZ20
Chen,Chen,2,13.335,13,PZ20
Das,Das,2,5.804,4,PZ20
Adamiak,Szachniuk,5,6.859,9,PZ20
Xiao3,Xiao,5,12.453,12,PZ20
Sanbonmatsu,Anonymous,3,13.86,29,PZ21
Bujnicki,Bujnicki,4,6.392,22,PZ21
ChenHighLig,Chen,2,3.715,2,PZ21
DasLORES,Das,1,3.646,1,PZ21
Adamiak,Szachniuk,4,4.506,7,PZ21
Bujnicki,Bujnicki,3,6.197,2,PZ9
Chen,Chen,7,6.058,1,PZ9
Das,Das,2,7.719,12,PZ9
Ding,Ding,5,8.93,18,PZ9
Dokholyan,Dokholyan,4,19.342,31,PZ9
