Groups,Groups_new,model,RMSD,RMSD_rank,PZ
3dRNAAS2,3dRNA,2,24.568,45,PZ15
RNAComposerAS1,RNAComposer,1,8.088,2,PZ15
RW3DAS2,RW3D,4,10.162,7,PZ15
SimRNAAS1,SimRNA,1,7.121,1,PZ15
RNAComposerAS2,RNAComposer,3,11.913,3,PZ17
SimRNAAS2,SimRNA,1,5.145,1,PZ17
3dRNA,3dRNA,4,13.139,7,PZ19
LeeServer,Anonymous2,2,10.951,3,PZ19
RNAComposer,RNAComposer,3,9.596,1,PZ19
RW3D,RW3D,5,15.662,17,PZ19
SimRNA,SimRNA,3,13.794,9,PZ19
RNAComposer,RNAComposer,4,10.995,1,PZ20
RW3D,RW3D,8,15.818,4,PZ20
SimRNA,SimRNA,1,18.075,14,PZ20
3dRNA,3dRNA,3,12.053,4,PZ21
RNAComposer,RNAComposer,3,12.117,6,PZ21
RW3D,RW3D,2,15.984,12,PZ21
SimRNA,SimRNA,4,10.566,1,PZ21
