Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,RMSD_minus,complete_name,ares_id,ares_score,complete_model,Lddt_score,Lddt_rank
Chen,5,4.989,1,5.852,1,0.853,3,0.953,18,-1.0,16,0.821,1,0.55,6,24.294,22,0.339,14,0.0,1,0.0,0,PZ11,-4.989,PZ11_Chen_5,PZ11_Chen_5,7.4880219,PZ11_Chen_5,0.5593570870244919,16
Chen,2,5.193,2,6.226,2,0.834,4,0.977,9,-1.0,16,0.768,11,2.74,16,25.423,34,0.314,32,0.0,1,0.0,1,PZ11,-5.193,PZ11_Chen_2,PZ11_Chen_2,7.322084,PZ11_Chen_2,0.5747619193905137,14
Chen,4,5.255,3,6.333,3,0.83,6,0.977,9,-1.0,16,0.772,10,0.55,6,28.152,49,0.343,11,0.0,1,0.0,0,PZ11,-5.255,PZ11_Chen_4,PZ11_Chen_4,7.3380904,PZ11_Chen_4,0.5583933393339334,17
Bujnicki,3,5.582,4,6.875,4,0.812,14,0.978,4,0.707,2,0.734,28,0.0,1,25.333,32,0.326,21,0.0,1,0.0,1,PZ11,-5.582,PZ11_Bujnicki_3,PZ11_Bujnicki_3,6.6873317,PZ11_Bujnicki_3,0.5850147456377488,11
Adamiak,7,5.724,5,7.026,5,0.815,12,1.0,1,-1.0,16,0.72,34,7.14,21,25.974,39,0.314,32,0.0,1,0.0,1,PZ11,-5.724,PZ11_Adamiak_7,PZ11_Adamiak_7,6.9432135,PZ11_Adamiak_7,0.6152033669206193,2
Bujnicki,4,5.843,6,7.615,8,0.767,30,0.929,20,1.0,1,0.678,51,2.78,17,30.459,54,0.349,9,0.0,1,5.55e-17,1,PZ11,-5.843,PZ11_Bujnicki_4,PZ11_Bujnicki_4,8.1355648,PZ11_Bujnicki_4,0.5456223887933153,26
Bujnicki,1,5.983,7,7.559,7,0.792,21,0.955,14,-1.0,16,0.732,29,0.55,6,22.643,17,0.451,1,0.0,1,5.55e-17,0,PZ11,-5.983,PZ11_Bujnicki_1,PZ11_Bujnicki_1,6.2896852,PZ11_Bujnicki_1,0.5944398716187408,8
Chen,1,6.026,8,7.34,6,0.821,7,0.929,20,-1.0,16,0.787,7,1.1,10,26.348,44,0.32,24,0.0,1,5.55e-17,0,PZ11,-6.026,PZ11_Chen_1,PZ11_Chen_1,6.8686862,PZ11_Chen_1,0.5451762281491307,27
Ding,5,6.348,9,9.202,13,0.69,51,0.769,45,-1.0,16,0.672,53,12.62,47,27.271,47,0.339,14,0.0,1,3.33e-16,0,PZ11,-6.348,PZ11_Ding_5,PZ11_Ding_5,8.515501,PZ11_Ding_5,0.5295090364299588,38
Adamiak,5,6.381,10,7.818,9,0.816,10,0.977,9,-1.0,16,0.739,24,6.59,19,25.062,28,0.34,13,0.0,1,3.89e-16,1,PZ11,-6.381,PZ11_Adamiak_5,PZ11_Adamiak_5,6.1743913,PZ11_Adamiak_5,0.6040489063652003,4
Ding,9,6.748,11,9.242,14,0.73,40,0.798,40,-1.0,16,0.719,35,9.87,31,26.103,40,0.367,5,0.0,1,2.05e-15,0,PZ11,-6.748,PZ11_Ding_9,PZ11_Ding_9,8.0813456,PZ11_Ding_9,0.5523206925955754,22
Das,10,6.825,12,7.958,10,0.858,2,0.977,9,-1.0,16,0.804,3,10.42,36,22.896,19,0.297,40,0.0,1,2.89e-15,1,PZ11,-6.825,PZ11_Das_10,PZ11_Das_10,6.5885839,PZ11_Das_10,0.6446931064143524,1
Ding,10,6.878,13,9.382,17,0.733,39,0.739,49,-1.0,16,0.75,19,13.71,49,24.359,23,0.273,48,0.0,1,3.66e-15,0,PZ11,-6.878,PZ11_Ding_10,PZ11_Ding_10,7.9398208,PZ11_Ding_10,0.5214481974513241,43
Adamiak,1,6.992,14,9.343,16,0.748,32,0.763,46,-1.0,16,0.758,16,8.24,25,24.914,27,0.299,39,0.0,1,6e-15,0,PZ11,-6.992,PZ11_Adamiak_1,PZ11_Adamiak_1,6.6012325,PZ11_Adamiak_1,0.5263720450992467,41
Ding,3,6.996,15,9.317,15,0.751,31,0.826,33,-1.0,16,0.731,30,13.17,48,25.749,37,0.318,28,0.0,1,6.11e-15,0,PZ11,-6.996,PZ11_Ding_3,PZ11_Ding_3,7.5646396,PZ11_Ding_3,0.5291996304893647,39
Chen,3,7.05,16,8.623,11,0.818,8,0.905,25,-1.0,16,0.793,6,1.1,10,26.738,46,0.319,26,0.0,1,7.77e-15,0,PZ11,-7.05,PZ11_Chen_3,PZ11_Chen_3,7.0819755,PZ11_Chen_3,0.556533942867971,20
Bujnicki,8,7.142,17,10.409,27,0.686,52,0.727,51,-1.0,16,0.683,46,0.0,1,22.149,13,0.399,3,0.0,1,1.15e-14,0,PZ11,-7.142,PZ11_Bujnicki_8,PZ11_Bujnicki_8,6.3232737,PZ11_Bujnicki_8,0.5473805604244635,25
Ding,8,7.21,18,9.141,12,0.789,23,0.798,40,-1.0,16,0.797,4,9.87,31,25.219,30,0.319,26,0.0,1,1.54e-14,1,PZ11,-7.21,PZ11_Ding_8,PZ11_Ding_8,7.5021644,PZ11_Ding_8,0.557921172278201,18
Adamiak,6,7.333,19,9.882,22,0.742,36,0.906,24,0.0,4,0.694,42,10.98,41,25.771,38,0.336,17,0.0,1,2.6e-14,0,PZ11,-7.333,PZ11_Adamiak_6,PZ11_Adamiak_6,5.9342451,PZ11_Adamiak_6,0.5776238808091335,12
Bujnicki,9,7.385,20,9.435,19,0.783,24,0.957,13,-1.0,16,0.711,38,1.1,10,23.871,20,0.323,23,0.0,1,3.25e-14,0,PZ11,-7.385,PZ11_Bujnicki_9,PZ11_Bujnicki_9,6.5334439,PZ11_Bujnicki_9,0.5754121464778057,13
Adamiak,10,7.407,21,10.534,31,0.703,49,0.773,43,-1.0,16,0.682,48,9.34,29,28.03,48,0.313,34,0.0,1,3.56e-14,0,PZ11,-7.407,PZ11_Adamiak_10,PZ11_Adamiak_10,6.6185036,PZ11_Adamiak_10,0.5238035316689563,42
Adamiak,3,7.409,22,10.517,29,0.705,48,0.744,48,0.0,4,0.709,39,6.59,19,25.442,35,0.439,2,0.0,1,3.6e-14,0,PZ11,-7.409,PZ11_Adamiak_3,PZ11_Adamiak_3,6.0040722,PZ11_Adamiak_3,0.5568196622293808,19
Bujnicki,10,7.546,23,11.399,36,0.662,54,0.636,54,-1.0,16,0.69,45,0.0,1,26.164,41,0.303,38,0.0,1,6.42e-14,0,PZ11,-7.546,PZ11_Bujnicki_10,PZ11_Bujnicki_10,6.2270908,PZ11_Bujnicki_10,0.5057972902553414,50
Bujnicki,5,7.574,24,10.47,28,0.723,41,0.773,43,-1.0,16,0.718,36,0.0,1,22.22,14,0.311,36,0.0,1,7.19e-14,0,PZ11,-7.574,PZ11_Bujnicki_5,PZ11_Bujnicki_5,6.2487931,PZ11_Bujnicki_5,0.5300597493959922,37
Ding,4,7.838,26,10.177,24,0.77,28,0.826,33,-1.0,16,0.761,14,9.87,31,24.893,26,0.346,10,0.0,1,2.15e-13,0,PZ11,-7.838,PZ11_Ding_4,PZ11_Ding_4,8.3441772,PZ11_Ding_4,0.5493909588327254,23
