Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,RMSD_minus,complete_name
Chen,5,4.989,1,5.852,1,0.853,3,0.953,18,-1.0,16,0.821,1,0.55,6,24.294,22,0.339,14,0.0,1,0.0,0,PZ11,-4.989,PZ11_Chen_5
Chen,2,5.193,2,6.226,2,0.834,4,0.977,9,-1.0,16,0.768,11,2.74,16,25.423,34,0.314,32,0.0,1,0.0,1,PZ11,-5.193,PZ11_Chen_2
Chen,4,5.255,3,6.333,3,0.83,6,0.977,9,-1.0,16,0.772,10,0.55,6,28.152,49,0.343,11,0.0,1,0.0,0,PZ11,-5.255,PZ11_Chen_4
Bujnicki,3,5.582,4,6.875,4,0.812,14,0.978,4,0.707,2,0.734,28,0.0,1,25.333,32,0.326,21,0.0,1,0.0,1,PZ11,-5.582,PZ11_Bujnicki_3
Adamiak,7,5.724,5,7.026,5,0.815,12,1.0,1,-1.0,16,0.72,34,7.14,21,25.974,39,0.314,32,0.0,1,0.0,1,PZ11,-5.724,PZ11_Adamiak_7
Bujnicki,4,5.843,6,7.615,8,0.767,30,0.929,20,1.0,1,0.678,51,2.78,17,30.459,54,0.349,9,0.0,1,5.55e-17,1,PZ11,-5.843,PZ11_Bujnicki_4
Bujnicki,1,5.983,7,7.559,7,0.792,21,0.955,14,-1.0,16,0.732,29,0.55,6,22.643,17,0.451,1,0.0,1,5.55e-17,0,PZ11,-5.983,PZ11_Bujnicki_1
Chen,1,6.026,8,7.34,6,0.821,7,0.929,20,-1.0,16,0.787,7,1.1,10,26.348,44,0.32,24,0.0,1,5.55e-17,0,PZ11,-6.026,PZ11_Chen_1
Ding,5,6.348,9,9.202,13,0.69,51,0.769,45,-1.0,16,0.672,53,12.62,47,27.271,47,0.339,14,0.0,1,3.33e-16,0,PZ11,-6.348,PZ11_Ding_5
Adamiak,5,6.381,10,7.818,9,0.816,10,0.977,9,-1.0,16,0.739,24,6.59,19,25.062,28,0.34,13,0.0,1,3.89e-16,1,PZ11,-6.381,PZ11_Adamiak_5
