Groups,Groups_new,model,RMSD,RMSD_rank,PZ
Chen,Chen,5,4.989,1,PZ11
Chen,Chen,6,8.355,30,PZ11
Chen,Chen,8,8.415,31,PZ11
Ding,Ding,1,8.417,32,PZ11
Das,Das,4,8.475,33,PZ11
Das,Das,1,8.526,34,PZ11
Ding,Ding,7,8.542,35,PZ11
Adamiak,Szachniuk,9,8.645,36,PZ11
Das,Das,6,8.818,37,PZ11
Xiao,Xiao,2,8.825,38,PZ11
Das,Das,3,8.901,39,PZ11
Bujnicki,Bujnicki,6,9.042,40,PZ11
Adamiak,Szachniuk,2,9.049,41,PZ11
Bujnicki,Bujnicki,7,9.212,42,PZ11
Chen,Chen,7,9.305,43,PZ11
Chen,Chen,10,9.467,44,PZ11
Xiao,Xiao,3,10.327,45,PZ11
Adamiak,Szachniuk,8,10.392,46,PZ11
Ding,Ding,6,10.538,48,PZ11
Xiao,Xiao,1,10.686,49,PZ11
Adamiak,Szachniuk,4,11.177,50,PZ11
Ding,Ding,2,11.439,51,PZ11
Bujnicki,Bujnicki,2,15.356,52,PZ11
Das,Das,9,16.028,53,PZ11
Das,Das,2,8.351,29,PZ11
Das,Das,5,8.277,28,PZ11
Das,Das,8,10.423,47,PZ11
Chen,Chen,9,7.955,26,PZ11
Das,Das,7,7.969,27,PZ11
Chen,Chen,2,5.193,2,PZ11
Chen,Chen,4,5.255,3,PZ11
Bujnicki,Bujnicki,3,5.582,4,PZ11
Bujnicki,Bujnicki,4,5.843,6,PZ11
Bujnicki,Bujnicki,1,5.983,7,PZ11
Chen,Chen,1,6.026,8,PZ11
Ding,Ding,5,6.348,9,PZ11
Adamiak,Szachniuk,5,6.381,10,PZ11
Ding,Ding,9,6.748,11,PZ11
Das,Das,10,6.825,12,PZ11
Ding,Ding,10,6.878,13,PZ11
Adamiak,Szachniuk,7,5.724,5,PZ11
Ding,Ding,3,6.996,15,PZ11
Adamiak,Szachniuk,1,6.992,14,PZ11
Bujnicki,Bujnicki,5,7.574,24,PZ11
Bujnicki,Bujnicki,10,7.546,23,PZ11
Adamiak,Szachniuk,10,7.407,21,PZ11
Bujnicki,Bujnicki,9,7.385,20,PZ11
Adamiak,Szachniuk,3,7.409,22,PZ11
Adamiak,Szachniuk,6,7.333,19,PZ11
Ding,Ding,8,7.21,18,PZ11
Bujnicki,Bujnicki,8,7.142,17,PZ11
Chen,Chen,3,7.05,16,PZ11
Ding,Ding,4,7.838,25,PZ11
Lee,Lee,3,4.711,17,PZ16a
Lee,Lee,1,4.605,16,PZ16a
Lee,Lee,7,4.558,15,PZ16a
Chen,Chen,7,16.867,28,PZ16a
Chen,Chen,6,15.926,27,PZ16a
Chen,Chen,8,15.75,26,PZ16a
Chen,Chen,9,15.496,25,PZ16a
Chen,Chen,10,15.237,24,PZ16a
Chen,Chen,3,7.344,22,PZ16a
Chen,Chen,4,7.254,21,PZ16a
Lee,Lee,8,5.405,20,PZ16a
Lee,Lee,10,5.383,19,PZ16a
Lee,Lee,5,5.288,18,PZ16a
Lee,Lee,9,8.41,23,PZ16a
Szachniuk,Szachniuk,3,2.217,5,PZ16a
Szachniuk,Szachniuk,5,2.209,4,PZ16a
Szachniuk,Szachniuk,10,2.041,3,PZ16a
Szachniuk,Szachniuk,8,1.881,2,PZ16a
Chen,Chen,1,1.45,1,PZ16a
Lee,Lee,6,4.416,14,PZ16a
Szachniuk,Szachniuk,1,2.258,6,PZ16a
Szachniuk,Szachniuk,4,2.36,7,PZ16a
Szachniuk,Szachniuk,2,3.716,12,PZ16a
Lee,Lee,2,3.551,11,PZ16a
Szachniuk,Szachniuk,9,2.813,10,PZ16a
Lee,Lee,4,3.957,13,PZ16a
Szachniuk,Szachniuk,6,2.43,9,PZ16a
Szachniuk,Szachniuk,7,2.381,8,PZ16a
Lee,Lee,2,3.948,15,PZ16b
Lee,Lee,1,4.018,16,PZ16b
Lee,Lee,9,4.042,17,PZ16b
Lee,Lee,4,4.236,19,PZ16b
Lee,Lee,7,4.056,18,PZ16b
