Groups,Groups_new,model,RMSD,RMSD_rank,PZ
RW3DAS1,RW3D,8,4.888,42,PZ16a
RW3DAS1,RW3D,4,4.817,36,PZ16a
RW3DAS2,RW3D,2,4.852,40,PZ16a
RW3DAS1,RW3D,10,4.852,40,PZ16a
RW3DAS1,RW3D,2,4.844,39,PZ16a
3dRNAAS2,3dRNA,3,4.833,37,PZ16a
3dRNAAS2,3dRNA,2,4.833,37,PZ16a
RW3DAS1,RW3D,7,4.896,43,PZ16a
3dRNAAS2,3dRNA,5,4.708,32,PZ16a
RW3DAS1,RW3D,3,4.786,34,PZ16a
SimRNAAS2,SimRNA,3,4.758,33,PZ16a
SimRNAAS2,SimRNA,1,4.508,31,PZ16a
SimRNAAS1,SimRNA,2,4.898,44,PZ16a
RW3DAS2,RW3D,10,4.47,30,PZ16a
RW3DAS2,RW3D,9,4.805,35,PZ16a
RW3DAS2,RW3D,5,4.901,45,PZ16a
RW3DAS1,RW3D,6,5.79,55,PZ16a
RW3DAS1,RW3D,5,4.993,47,PZ16a
3dRNAAS2,3dRNA,9,4.445,28,PZ16a
SimRNAAS2,SimRNA,2,4.912,46,PZ16a
3dRNAAS2,3dRNA,1,5.729,54,PZ16a
SimRNAAS1,SimRNA,3,5.482,52,PZ16a
RW3DAS2,RW3D,3,5.247,51,PZ16a
RW3DAS1,RW3D,9,5.217,50,PZ16a
3dRNAAS2,3dRNA,4,5.091,49,PZ16a
RW3DAS1,RW3D,1,5.038,48,PZ16a
RW3DAS2,RW3D,4,5.557,53,PZ16a
3dRNAAS2,3dRNA,10,4.445,28,PZ16a
SimRNAAS1,SimRNA,1,4.339,27,PZ16a
RNAComposerAS2,RNAComposer,3,2.217,12,PZ16a
RNAComposerAS1,RNAComposer,6,2.214,11,PZ16a
RNAComposerAS2,RNAComposer,5,2.209,10,PZ16a
RNAComposerAS2,RNAComposer,10,2.041,8,PZ16a
3dRNAAS2,3dRNA,6,1.92,7,PZ16a
RW3DAS2,RW3D,1,1.906,6,PZ16a
RNAComposerAS2,RNAComposer,8,1.881,5,PZ16a
RW3DAS2,RW3D,8,1.688,4,PZ16a
RW3DAS2,RW3D,7,1.661,3,PZ16a
RW3DAS2,RW3D,6,1.523,2,PZ16a
RNAComposerAS1,RNAComposer,3,1.235,1,PZ16a
RNAComposerAS2,RNAComposer,1,2.258,13,PZ16a
RNAComposerAS1,RNAComposer,8,2.041,8,PZ16a
RNAComposerAS2,RNAComposer,4,2.36,14,PZ16a
RNAComposerAS2,RNAComposer,2,3.716,26,PZ16a
3dRNAAS2,3dRNA,8,2.912,24,PZ16a
3dRNAAS2,3dRNA,7,2.912,24,PZ16a
RNAComposerAS2,RNAComposer,9,2.813,23,PZ16a
RNAComposerAS1,RNAComposer,2,2.802,22,PZ16a
RNAComposerAS1,RNAComposer,9,2.718,20,PZ16a
RNAComposerAS1,RNAComposer,7,2.609,19,PZ16a
RNAComposerAS2,RNAComposer,6,2.43,18,PZ16a
RNAComposerAS1,RNAComposer,4,2.407,17,PZ16a
RNAComposerAS1,RNAComposer,5,2.405,16,PZ16a
RNAComposerAS2,RNAComposer,7,2.381,15,PZ16a
RNAComposerAS1,RNAComposer,1,2.751,21,PZ16a
SimRNAAS1,SimRNA,1,4.228,47,PZ16b
SimRNAAS2,SimRNA,1,3.873,46,PZ16b
SimRNAAS2,SimRNA,8,4.373,48,PZ16b
RW3DAS2,RW3D,10,2.501,41,PZ16b
3dRNAAS2,3dRNA,9,2.883,45,PZ16b
RNAComposerAS2,RNAComposer,9,2.759,44,PZ16b
RNAComposerAS2,RNAComposer,10,2.668,43,PZ16b
