Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,Casp,casp_,complete_model_name,group_name,casp_newname,new_name,lddt,Categories,lddt_rank
TS232,1,4.515,1,5.544,1,0.814,4,0.866,4,-1.0,1,0.804,4,9.5,62,18.325,4,0.564,1,0.0,1,0.0,0,CR1107,R1107,R1107TS232_1,Xiong,R1107_TS232_1,R1107_TS232_1,0.7241848518659062,Human,2
TS232,2,4.857,2,5.946,2,0.817,3,0.885,2,-1.0,1,0.8,5,4.52,47,17.869,1,0.498,2,0.0,1,0.0,0,CR1107,R1107,R1107TS232_2,Xiong,R1107_TS232_2,R1107_TS232_2,0.7210499934867441,Human,3
TS232,5,5.023,3,6.295,4,0.798,5,0.866,4,-1.0,1,0.781,6,6.33,54,17.869,1,0.473,5,0.0,1,0.0,0,CR1107,R1107,R1107TS232_5,Xiong,R1107_TS232_5,R1107_TS232_5,0.7206053929758783,Human,4
TS232,4,5.307,4,6.205,3,0.855,1,0.885,2,-1.0,1,0.855,1,8.59,59,18.339,5,0.488,3,0.0,1,0.0,0,CR1107,R1107,R1107TS232_4,Xiong,R1107_TS232_4,R1107_TS232_4,0.7099774584709141,Human,5
TS416,1,5.924,5,8.122,7,0.729,18,0.791,16,-1.0,1,0.717,38,20.81,78,26.048,104,0.462,7,0.0,1,0.0,0,CR1107,R1107,R1107TS416_1,Xiong,R1107_TS416_1,R1107_TS416_1,0.6022751086014624,Human,10
TS232,4,4.493,1,5.444,1,0.825,6,0.917,6,-1.0,1,0.796,12,9.95,62,13.602,2,0.537,2,0.0,1,0.0,0,CR1108,R1108,R1108TS232_4,Xiong,R1108_TS232_4,R1108_TS232_4,0.7476600464515532,Human,3
TS232,2,4.631,2,5.644,2,0.821,8,0.935,4,-1.0,1,0.782,19,4.52,39,13.783,5,0.522,4,0.0,1,0.0,0,CR1108,R1108,R1108TS232_2,Xiong,R1108_TS232_2,R1108_TS232_2,0.7545336600001158,Human,1
TS416,3,4.802,3,5.871,4,0.818,9,0.952,2,-1.0,1,0.765,28,5.88,48,22.174,86,0.514,8,0.0,1,0.0,0,CR1108,R1108,R1108TS416_3,Xiong,R1108_TS416_3,R1108_TS416_3,0.6801416714450371,Human,11
TS416,4,4.91,4,5.816,3,0.844,1,0.977,1,-1.0,1,0.801,9,3.16,29,21.834,79,0.535,3,0.0,1,0.0,0,CR1108,R1108,R1108TS416_4,Xiong,R1108_TS416_4,R1108_TS416_4,0.6891829276062391,Human,10
TS416,2,4.924,5,6.419,7,0.767,28,0.854,10,-1.0,1,0.736,40,13.57,71,23.726,107,0.516,7,0.0,1,0.0,1,CR1108,R1108,R1108TS416_2,Xiong,R1108_TS416_2,R1108_TS416_2,0.6527680500050028,Human,14
TS285,5,4.843,1,5.831,1,0.831,1,0.941,8,0.671,15,0.786,1,0.43,25,31.926,49,0.661,1,0.0,1,0.0,0,CR1116,R1116,R1116TS285_5,PerezLab_Gators,R1116_TS285_5,R1116_TS285_5,0.6671495210658817,Human,8
TS285,1,5.515,2,6.87,2,0.803,8,0.941,8,0.671,15,0.741,18,1.28,30,31.459,35,0.571,3,0.0,1,0.0,0,CR1116,R1116,R1116TS285_1,PerezLab_Gators,R1116_TS285_1,R1116_TS285_1,0.6739545076631788,Human,6
TS285,3,6.646,3,8.712,3,0.763,20,0.894,25,0.632,19,0.709,31,1.07,29,31.829,43,0.483,26,0.0,1,0.0,0,CR1116,R1116,R1116TS285_3,PerezLab_Gators,R1116_TS285_3,R1116_TS285_3,0.6374714421122007,Human,26
TS439,4,11.176,4,16.098,9,0.694,55,0.679,67,0.632,19,0.706,38,6.19,51,33.656,99,0.6,2,0.0,1,0.0,0,CR1116,R1116,R1116TS439_4,Yang,R1116_TS439_4,R1116_TS439_4,0.579787419857426,Human,42
TS285,2,11.887,5,15.582,5,0.763,20,0.905,23,0.447,25,0.709,31,0.64,28,32.664,71,0.383,52,0.0,1,0.0,0,CR1116,R1116,R1116TS285_2,PerezLab_Gators,R1116_TS285_2,R1116_TS285_2,0.6125262290080603,Human,33
TS287,4,2.007,1,2.655,1,0.756,12,0.845,33,0.5,2,0.779,10,0.0,1,28.499,88,0.371,11,0.0,1,1.181e-09,0,CR1117,R1117,R1117TS287_4,Chen,R1117_TS287_4,R1117_TS287_4,0.7051360676784814,Human,9
TS287,2,2.254,2,2.792,2,0.807,6,1.0,1,0.5,2,0.794,8,0.0,1,24.746,36,0.387,9,0.0,1,2.712e-09,0,CR1117,R1117,R1117TS287_2,Chen,R1117_TS287_2,R1117_TS287_2,0.7357570269154936,Human,2
TS287,3,2.266,3,3.058,7,0.741,15,0.926,21,0.5,2,0.723,20,0.0,1,26.501,63,0.426,2,0.0,1,2.827e-09,0,CR1117,R1117,R1117TS287_3,Chen,R1117_TS287_3,R1117_TS287_3,0.6889214315190976,Human,11
TS232,1,2.274,4,2.921,4,0.778,8,1.0,1,0.5,2,0.743,12,26.97,80,19.627,3,0.401,7,0.0,1,2.896e-09,0,CR1117,R1117,R1117TS232_1,Xiong,R1117_TS232_1,R1117_TS232_1,0.7472889632720436,Human,1
TS128,1,2.435,5,2.856,3,0.852,1,1.0,1,0.5,2,0.857,1,1.08,37,30.223,104,0.303,19,0.0,1,4.929e-09,0,CR1117,R1117,R1117TS128_1,Bujnicki,R1117_TS128_1,R1117_TS128_1,0.694008207620707,Human,10
TS232,4,8.761,1,10.446,1,0.839,5,0.973,1,0.316,15,0.785,8,10.82,54,23.0,8,0.618,1,0.0,1,0.0,0,CR1126,R1126,R1126TS232_4,Xiong,R1126_TS232_4,R1126_TS232_4,0.6894772819652757,Human,5
TS232,2,8.826,2,10.588,2,0.834,7,0.973,1,0.316,15,0.778,10,12.37,60,22.759,4,0.595,3,0.0,1,0.0,0,CR1126,R1126,R1126TS232_2,Xiong,R1126_TS232_2,R1126_TS232_2,0.6935082729033382,Human,1
TS232,1,8.928,3,10.621,3,0.841,4,0.973,1,0.316,15,0.788,7,10.65,53,22.83,6,0.603,2,0.0,1,0.0,0,CR1126,R1126,R1126TS232_1,Xiong,R1126_TS232_1,R1126_TS232_1,0.6910243951592243,Human,3
TS232,3,8.987,4,10.741,4,0.837,6,0.973,1,0.316,15,0.782,9,12.02,58,22.788,5,0.584,5,0.0,1,0.0,0,CR1126,R1126,R1126TS232_3,Xiong,R1126_TS232_3,R1126_TS232_3,0.6908053613332286,Human,4
TS232,5,9.023,5,10.819,5,0.834,7,0.973,1,0.316,15,0.778,10,11.51,56,22.908,7,0.593,4,0.0,1,0.0,0,CR1126,R1126,R1126TS232_5,Xiong,R1126_TS232_5,R1126_TS232_5,0.6914088785126535,Human,2
